iter	MultiClass
0	1.077865659
1	1.058057999
2	1.040351791
3	1.024234804
4	1.009779474
5	0.9960181869
6	0.9828331647
7	0.971124678
8	0.9604096955
9	0.9502647417
10	0.940834939
11	0.9320971823
12	0.9238620426
13	0.9161977181
14	0.9086948424
15	0.9025751561
16	0.8962489769
17	0.8904434199
18	0.8851969177
19	0.8798237734
20	0.8749586456
21	0.8705409608
22	0.8663585216
23	0.8619642793
24	0.8576678768
25	0.853663765
26	0.8497513267
27	0.8465523979
28	0.8433547108
29	0.8409716936
30	0.8381934627
31	0.8355358202
32	0.8330356627
33	0.8305057975
34	0.8282035871
35	0.8259950385
36	0.8239243803
37	0.8221806398
38	0.8202721649
39	0.8185380939
40	0.8168433067
41	0.8154091592
42	0.8139698626
43	0.8131203238
44	0.8113005889
45	0.8101093574
46	0.8086956917
47	0.8074202428
48	0.8062954801
49	0.8049988898
50	0.8038491874
51	0.802690763
52	0.801584395
53	0.8001233231
54	0.7990788615
55	0.7980483937
56	0.7971664047
57	0.7961311102
58	0.7951477629
59	0.7942881508
60	0.7936807371
61	0.7927394844
62	0.7917840531
63	0.7912681822
64	0.790442909
65	0.789701222
66	0.7892329787
67	0.7885002574
68	0.7881619444
69	0.7876864527
70	0.7872940774
71	0.7868967039
72	0.7861757567
73	0.7856664451
74	0.7849333529
75	0.7844011063
76	0.7839046423
77	0.7833326763
78	0.7830303165
79	0.7825200213
80	0.7822444929
81	0.7818561983
82	0.7813610464
83	0.7809140802
84	0.7806765236
85	0.7802948135
86	0.7798486552
87	0.7795324416
88	0.7792072019
89	0.7788824866
90	0.7783602129
91	0.7778048515
92	0.7775337257
93	0.7771818607
94	0.7769151013
95	0.7765590678
96	0.7763014228
97	0.7760082106
98	0.7754890861
99	0.7749173971
100	0.7746081693
101	0.7740865012
102	0.7738463452
103	0.7734692656
104	0.773291482
105	0.7730584461
106	0.772673219
107	0.7724570619
108	0.7721480166
109	0.7718099485
110	0.7713937163
111	0.7709708794
112	0.770817789
113	0.7700838148
114	0.7698697708
115	0.7692059259
116	0.7685404961
117	0.7684860298
118	0.7682519463
119	0.7678147885
120	0.7675898221
121	0.7672260003
122	0.7660624034
123	0.7656936828
124	0.7650968173
125	0.7649327196
126	0.76411701
127	0.7634268241
128	0.7631823011
129	0.7629994014
130	0.7628375723
131	0.7619848865
132	0.7615439524
133	0.7612514543
134	0.7609809145
135	0.7603845645
136	0.7598540991
137	0.7596008736
138	0.7592454362
139	0.7587175276
140	0.7585109419
141	0.7581455455
142	0.7575429036
143	0.7571437599
144	0.756639374
145	0.7565261916
146	0.756160189
147	0.7555649845
148	0.755387607
149	0.7553300201
150	0.7546661696
151	0.7543999737
152	0.7542009075
153	0.7540929936
154	0.7538413325
155	0.753524587
156	0.7533523037
157	0.7527016066
158	0.7524650227
159	0.7519900323
160	0.7515771947
161	0.7513877995
162	0.7512165542
163	0.7510568272
164	0.75082775
165	0.7506484278
166	0.750468003
167	0.7499974784
168	0.7497454204
169	0.7495912048
170	0.7491419136
171	0.7486633356
172	0.7485821814
173	0.7483022659
174	0.7479202758
175	0.747819585
176	0.7476443132
177	0.7472709297
178	0.7467829028
179	0.7464868424
180	0.7460919432
181	0.7455561161
182	0.7452811346
183	0.7448098791
184	0.7445215933
185	0.7442545684
186	0.7439605426
187	0.7438465881
188	0.7436927639
189	0.7435882271
190	0.7431424996
191	0.7429189752
192	0.7427144842
193	0.7425753514
194	0.742391626
195	0.7422550895
196	0.7421264231
197	0.7415843524
198	0.7412346606
199	0.7407978676
200	0.7405767929
201	0.7404863006
202	0.7403670147
203	0.7402177005
204	0.7400282604
205	0.7398679573
206	0.7396944214
207	0.7396149593
208	0.7394459885
209	0.7392853694
210	0.7388873052
211	0.7388073449
212	0.7385256064
213	0.7383825339
214	0.738196618
215	0.7380802462
216	0.7378560814
217	0.7375427072
218	0.7370820638
219	0.7369035929
220	0.7365999419
221	0.7362516634
222	0.7360248325
223	0.7356539005
224	0.7355085231
225	0.7354055461
226	0.7352763721
227	0.735153505
228	0.734894101
229	0.7347198247
230	0.7346217475
231	0.734479258
232	0.734322545
233	0.7340432622
234	0.7338632153
235	0.733583612
236	0.7333890045
237	0.7332000589
238	0.73301151
239	0.7327325429
240	0.732487796
241	0.7322782928
242	0.7320788812
243	0.7318667028
244	0.7312816805
245	0.7310653684
246	0.7309819942
247	0.7308195793
248	0.7303980887
249	0.7301727564
250	0.7299622288
251	0.7299145829
252	0.7296500476
253	0.7294027345
254	0.7290138139
255	0.7289170351
256	0.728679939
257	0.728374806
258	0.728203388
259	0.7278375964
260	0.7276207759
261	0.7271851736
262	0.7270192534
263	0.7268600725
264	0.7266755764
265	0.7263552715
266	0.7262616362
267	0.7261557307
268	0.7259839516
269	0.7257673541
270	0.7255305493
271	0.7253921052
272	0.725121237
273	0.7249453498
274	0.7248089571
275	0.7246579993
276	0.7242601394
277	0.7241356425
278	0.7240359801
279	0.7238157453
280	0.723482624
281	0.7230241265
282	0.7228678313
283	0.7226926076
284	0.7225337969
285	0.7224073446
286	0.7221381831
287	0.7218829314
288	0.7216130298
289	0.7211984672
290	0.7210108041
291	0.7206565584
292	0.7205579811
293	0.7203846123
294	0.7201335516
295	0.719937124
296	0.7198178025
297	0.7195627572
298	0.7193192427
299	0.7192484854
300	0.7188833482
301	0.7186187633
302	0.7182960255
303	0.7181476671
304	0.7178956956
305	0.7177912177
306	0.717417272
307	0.717311696
308	0.717145444
309	0.7169483203
310	0.7167750412
311	0.7166057293
312	0.7162952841
313	0.7161259581
314	0.7156590587
315	0.7155457312
316	0.7153791999
317	0.7152061446
318	0.714957188
319	0.7147574268
320	0.7145368082
321	0.7143945463
322	0.7142320055
323	0.7140066656
324	0.713842382
325	0.7136313872
326	0.7133744905
327	0.7132302218
328	0.7131156674
329	0.7129192057
330	0.7127356066
331	0.7125452291
332	0.7123799014
333	0.7122231535
334	0.7121114279
335	0.712033661
336	0.7117717015
337	0.7115910888
338	0.7113347439
339	0.7112321434
340	0.7111044518
341	0.7109163822
342	0.7107281192
343	0.7105107698
344	0.7104258918
345	0.7100921741
346	0.7099604366
347	0.709769101
348	0.7096088531
349	0.7093482399
