iter	Passed	Remaining
0	102	35836
1	209	36521
2	341	39468
3	483	41865
4	618	42701
5	753	43216
6	902	44232
7	1061	45370
8	1198	45396
9	1398	47546
10	1538	47428
11	1702	47959
12	1847	47887
13	1989	47757
14	2127	47519
15	2264	47270
16	2391	46851
17	2526	46603
18	2685	46789
19	2829	46690
20	2967	46489
21	3109	46363
22	3272	46531
23	3424	46522
24	3576	46495
25	3701	46122
26	3833	45858
27	3975	45716
28	4101	45394
29	4230	45120
30	4371	44986
31	4520	44920
32	4637	44547
33	4778	44410
34	4923	44314
35	5042	43980
36	5191	43919
37	5336	43817
38	5474	43657
39	5620	43556
40	5759	43407
41	5894	43227
42	6034	43083
43	6082	42304
44	6198	42011
45	6335	41869
46	6492	41857
47	6626	41692
48	6776	41624
49	6927	41562
50	7074	41478
51	7218	41366
52	7355	41216
53	7489	41054
54	7663	41103
55	7792	40912
56	7922	40722
57	8026	40409
58	8151	40206
59	8290	40069
60	8429	39936
61	8553	39733
62	8677	39532
63	8816	39396
64	8960	39288
65	9108	39195
66	9238	39024
67	9368	38850
68	9510	38730
69	9670	38682
70	9829	38626
71	10008	38642
72	10145	38498
73	10284	38359
74	10427	38234
75	10569	38105
76	10712	37980
77	10868	37901
78	11008	37763
79	11163	37676
80	11295	37511
81	11417	37314
82	11550	37157
83	11701	37055
84	11829	36879
85	11957	36707
86	12109	36608
87	12247	36464
88	12382	36311
89	12516	36159
90	12659	36030
91	12774	35823
92	12915	35691
93	13050	35541
94	13175	35366
95	13265	35097
96	13345	34809
97	13431	34538
98	13515	34266
99	13600	34001
100	13686	33742
101	13767	33473
102	13842	33194
103	13931	32953
104	14019	32712
105	14108	32477
106	14186	32218
107	14289	32019
108	14404	31847
109	14479	31590
110	14555	31340
111	14629	31088
112	14704	30840
113	14775	30588
114	14851	30349
115	14936	30131
116	15014	29901
117	15039	29568
118	15109	29331
119	15182	29099
120	15259	28878
121	15338	28666
122	15416	28451
123	15493	28237
124	15564	28015
125	15648	27820
126	15726	27613
127	15805	27412
128	15881	27207
129	15956	27003
130	16031	26800
131	16109	26604
132	16182	26402
133	16258	26207
134	16336	26016
135	16411	25824
136	16506	25663
137	16587	25482
138	16670	25305
139	16750	25125
140	16830	24947
141	16908	24767
142	16985	24587
143	17059	24405
144	17140	24233
145	17223	24066
146	17307	23900
147	17384	23727
148	17459	23552
149	17530	23373
150	17603	23198
151	17677	23026
152	17755	22861
153	17832	22695
154	17907	22528
155	17982	22362
156	18055	22195
157	18130	22031
158	18205	21869
159	18277	21704
160	18356	21549
161	18430	21388
162	18505	21230
163	18579	21071
164	18673	20936
165	18747	20780
166	18824	20627
167	18901	20476
168	18974	20322
169	19048	20168
170	19120	20015
171	19194	19863
172	19267	19712
173	19338	19561
174	19412	19412
175	19483	19261
176	19560	19118
177	19632	18971
178	19708	18827
179	19780	18681
180	19855	18539
181	19930	18397
182	20004	18255
183	20072	18109
184	20146	17968
185	20220	17828
186	20294	17689
187	20368	17551
188	20443	17414
189	20523	17282
190	20601	17150
191	20681	17019
192	20760	16888
193	20862	16775
194	20936	16641
195	21013	16510
196	21090	16379
197	21167	16250
198	21242	16118
199	21318	15988
200	21390	15856
201	21466	15727
202	21539	15597
203	21612	15467
204	21684	15337
205	21759	15210
206	21832	15082
207	21906	14955
208	21983	14830
209	22056	14704
210	22130	14579
211	22205	14454
212	22282	14331
213	22355	14207
214	22429	14083
215	22503	13960
216	22578	13838
217	22651	13715
218	22727	13595
219	22803	13474
220	22876	13353
221	22950	13233
222	23045	13124
223	23122	13006
224	23196	12887
225	23269	12767
226	23341	12647
227	23419	12531
228	23495	12414
229	23567	12296
230	23641	12179
231	23715	12062
232	23791	11946
233	23880	11837
234	23953	11721
235	24031	11608
236	24106	11493
237	24178	11378
238	24256	11265
239	24329	11150
240	24403	11037
241	24479	10924
242	24553	10811
243	24626	10698
244	24701	10586
245	24777	10474
246	24851	10363
247	24930	10253
248	25003	10141
249	25079	10031
250	25154	9921
251	25250	9819
252	25328	9710
253	25402	9600
254	25474	9490
255	25544	9379
256	25619	9270
257	25695	9162
258	25775	9056
259	25852	8949
260	25929	8841
261	26003	8734
262	26077	8626
263	26151	8519
264	26222	8410
265	26298	8304
266	26374	8198
267	26448	8092
268	26525	7987
269	26600	7881
270	26674	7775
271	26747	7670
272	26822	7565
273	26897	7460
274	26969	7355
275	27047	7251
276	27121	7147
277	27199	7044
278	27277	6941
279	27356	6839
280	27446	6739
281	27523	6636
282	27598	6533
283	27670	6430
284	27746	6328
285	27821	6225
286	27892	6122
287	27965	6020
288	28039	5918
289	28113	5816
290	28191	5715
291	28266	5614
292	28336	5512
293	28410	5411
294	28482	5310
295	28554	5209
296	28631	5109
297	28707	5009
298	28779	4908
299	28848	4808
300	28923	4708
301	28998	4609
302	29071	4509
303	29143	4409
304	29215	4310
305	29289	4211
306	29361	4112
307	29435	4013
308	29507	3915
309	29591	3818
310	29668	3720
311	29740	3622
312	29814	3524
313	29887	3426
314	29960	3328
315	30033	3231
316	30105	3134
317	30182	3037
318	30257	2940
319	30333	2843
320	30406	2747
321	30481	2650
322	30554	2554
323	30629	2457
324	30705	2361
325	30777	2265
326	30853	2170
327	30927	2074
328	31000	1978
329	31071	1883
330	31149	1788
331	31223	1692
332	31295	1597
333	31366	1502
334	31436	1407
335	31510	1312
336	31586	1218
337	31660	1124
338	31747	1030
339	31826	936
340	31899	841
341	31977	748
342	32050	654
343	32123	560
344	32196	466
345	32275	373
346	32352	279
347	32441	186
348	32535	93
349	32617	0
