Id,team_goals_true,opp_goals_true,team_goals_pred,opp_goals_pred,base_mae,penalty_total,official_loss,exact_hit,outcome_hit,gd_hit,team_bias,opp_bias
M037762_South Ossetia,19,0,1,2,10.0,0.7000000000000001,64.3002342530725,False,False,False,-18,2
M037762_Darfur,0,19,2,1,10.0,0.7000000000000001,64.3002342530725,False,False,False,2,-18
W010269_Maldives,0,13,2,1,7.0,0.7000000000000001,39.25301103100245,False,False,False,2,-12
W010269_Bhutan,13,0,1,2,7.0,0.7000000000000001,39.25301103100245,False,False,False,-12,2
M039676_Chagos Islands,0,12,2,1,6.5,0.7000000000000001,35.49242172633477,False,False,False,2,-11
W008804_Sápmi,13,1,1,2,6.5,0.7000000000000001,35.49242172633477,False,False,False,-12,1
W008804_Tibet,1,13,2,1,6.5,0.7000000000000001,35.49242172633477,False,False,False,1,-12
M039676_Western Armenia,12,0,1,2,6.5,0.7000000000000001,35.49242172633477,False,False,False,-11,2
M037795_Darfur,0,12,2,1,6.5,0.7000000000000001,35.49242172633477,False,False,False,2,-11
M037795_Artsakh,12,0,1,2,6.5,0.7000000000000001,35.49242172633477,False,False,False,-11,2
W004468_Poland,0,20,1,2,9.5,0.44999999999999996,31.38590248821913,False,True,False,1,-18
M037746_Darfur,0,20,1,2,9.5,0.44999999999999996,31.38590248821913,False,True,False,1,-18
M037746_Padania,20,0,2,1,9.5,0.44999999999999996,31.38590248821913,False,True,False,-18,1
W004468_Russia,20,0,2,1,9.5,0.44999999999999996,31.38590248821913,False,True,False,-18,1
M037626_Ellan Vannin,10,0,1,2,5.5,0.7000000000000001,28.361188268477047,False,False,False,-9,2
M037626_Monaco,0,10,2,1,5.5,0.7000000000000001,28.361188268477047,False,False,False,2,-9
W008207_Great Britain,1,0,0,10,5.5,0.7000000000000001,28.361188268477047,False,False,False,-1,10
W008207_Japan,0,1,10,0,5.5,0.7000000000000001,28.361188268477047,False,False,False,10,-1
W007757_Saint Kitts and Nevis,10,0,1,2,5.5,0.7000000000000001,28.361188268477047,False,False,False,-9,2
W007757_Antigua and Barbuda,0,10,2,1,5.5,0.7000000000000001,28.361188268477047,False,False,False,2,-9
W006947_Saint Kitts and Nevis,10,0,1,2,5.5,0.7000000000000001,28.361188268477047,False,False,False,-9,2
W006947_Grenada,0,10,2,1,5.5,0.7000000000000001,28.361188268477047,False,False,False,2,-9
M035876_Provence,18,0,2,1,8.5,0.44999999999999996,26.775312789956345,False,True,False,-16,1
M035876_Darfur,0,18,1,2,8.5,0.44999999999999996,26.775312789956345,False,True,False,1,-16
W008111_Slovenia,9,0,1,2,5.0,0.7000000000000001,25.000527494434994,False,False,False,-8,2
W006167_Slovenia,9,0,0,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,-9,1
W007421_Malawi,11,1,1,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,-10,0
W007421_Mozambique,1,11,1,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,0,-10
W005000_Philippines,6,0,0,4,5.0,0.7000000000000001,25.000527494434994,False,False,False,-6,4
W006167_Macedonia,0,9,1,0,5.0,0.7000000000000001,25.000527494434994,False,False,False,1,-9
W005000_Iran,0,6,4,0,5.0,0.7000000000000001,25.000527494434994,False,False,False,4,-6
M048472_Hitra,6,0,1,5,5.0,0.7000000000000001,25.000527494434994,False,False,False,-5,5
M048472_Frøya,0,6,5,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,5,-5
M040327_United Koreans in Japan,9,0,1,2,5.0,0.7000000000000001,25.000527494434994,False,False,False,-8,2
M040327_Ryūkyū,0,9,2,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,2,-8
W009770_Faroe Islands,0,9,2,1,5.0,0.7000000000000001,25.000527494434994,False,False,False,2,-8
W009770_Montenegro,9,0,1,2,5.0,0.7000000000000001,25.000527494434994,False,False,False,-8,2
W007743_Saint Kitts and Nevis,4,1,0,7,5.0,0.7000000000000001,25.000527494434994,False,False,False,-4,6
